key,locale,value,type,section,parent
gym.catalog.group.peito,pt,Peito,text,Grupos musculares,
gym.catalog.group.peito,en,Chest,text,Grupos musculares,
gym.catalog.group.costas,pt,Costas,text,Grupos musculares,
gym.catalog.group.costas,en,Back,text,Grupos musculares,
gym.catalog.group.ombros,pt,Ombros,text,Grupos musculares,
gym.catalog.group.ombros,en,Shoulders,text,Grupos musculares,
gym.catalog.group.biceps,pt,Bíceps,text,Grupos musculares,
gym.catalog.group.biceps,en,Biceps,text,Grupos musculares,
gym.catalog.group.triceps,pt,Tríceps,text,Grupos musculares,
gym.catalog.group.triceps,en,Triceps,text,Grupos musculares,
gym.catalog.group.pernas,pt,Pernas,text,Grupos musculares,
gym.catalog.group.pernas,en,Legs,text,Grupos musculares,
gym.catalog.group.gluteos,pt,Glúteos,text,Grupos musculares,
gym.catalog.group.gluteos,en,Glutes,text,Grupos musculares,
gym.catalog.group.abdomen,pt,Abdómen,text,Grupos musculares,
gym.catalog.group.abdomen,en,Abs,text,Grupos musculares,
gym.catalog.subgroup.peito_superior,pt,Peito superior,text,Subgrupos,
gym.catalog.subgroup.peito_superior,en,Upper chest,text,Subgrupos,
gym.catalog.subgroup.peito_medio,pt,Peito médio,text,Subgrupos,
gym.catalog.subgroup.peito_medio,en,Mid chest,text,Subgrupos,
gym.catalog.subgroup.peito_inferior,pt,Peito inferior,text,Subgrupos,
gym.catalog.subgroup.peito_inferior,en,Lower chest,text,Subgrupos,
gym.catalog.subgroup.peito_interno,pt,Peito interno,text,Subgrupos,
gym.catalog.subgroup.peito_interno,en,Inner chest,text,Subgrupos,
gym.catalog.subgroup.dorsal,pt,Dorsal,text,Subgrupos,
gym.catalog.subgroup.dorsal,en,Lats,text,Subgrupos,
gym.catalog.subgroup.costas_media,pt,Costas média,text,Subgrupos,
gym.catalog.subgroup.costas_media,en,Mid back,text,Subgrupos,
gym.catalog.subgroup.lombar,pt,Lombar,text,Subgrupos,
gym.catalog.subgroup.lombar,en,Lower back,text,Subgrupos,
gym.catalog.subgroup.trapezio,pt,Trapézio,text,Subgrupos,
gym.catalog.subgroup.trapezio,en,Traps,text,Subgrupos,
gym.catalog.subgroup.deltoide_anterior,pt,Deltoide anterior,text,Subgrupos,
gym.catalog.subgroup.deltoide_anterior,en,Front delt,text,Subgrupos,
gym.catalog.subgroup.deltoide_lateral,pt,Deltoide lateral,text,Subgrupos,
gym.catalog.subgroup.deltoide_lateral,en,Side delt,text,Subgrupos,
gym.catalog.subgroup.deltoide_posterior,pt,Deltoide posterior,text,Subgrupos,
gym.catalog.subgroup.deltoide_posterior,en,Rear delt,text,Subgrupos,
gym.catalog.subgroup.manguito_rotador,pt,Manguito rotador,text,Subgrupos,
gym.catalog.subgroup.manguito_rotador,en,Rotator cuff,text,Subgrupos,
gym.catalog.subgroup.cabeca_longa,pt,Cabeça longa,text,Subgrupos,
gym.catalog.subgroup.cabeca_longa,en,Long head,text,Subgrupos,
gym.catalog.subgroup.cabeca_curta,pt,Cabeça curta,text,Subgrupos,
gym.catalog.subgroup.cabeca_curta,en,Short head,text,Subgrupos,
gym.catalog.subgroup.braquial,pt,Braquial,text,Subgrupos,
gym.catalog.subgroup.braquial,en,Brachialis,text,Subgrupos,
gym.catalog.subgroup.antebraco,pt,Antebraço,text,Subgrupos,
gym.catalog.subgroup.antebraco,en,Forearm,text,Subgrupos,
gym.catalog.subgroup.cabeca_lateral,pt,Cabeça lateral,text,Subgrupos,
gym.catalog.subgroup.cabeca_lateral,en,Lateral head,text,Subgrupos,
gym.catalog.subgroup.cabeca_medial,pt,Cabeça medial,text,Subgrupos,
gym.catalog.subgroup.cabeca_medial,en,Medial head,text,Subgrupos,
gym.catalog.subgroup.quadriceps,pt,Quadríceps,text,Subgrupos,
gym.catalog.subgroup.quadriceps,en,Quadriceps,text,Subgrupos,
gym.catalog.subgroup.isquiotibiais,pt,Isquiotibiais,text,Subgrupos,
gym.catalog.subgroup.isquiotibiais,en,Hamstrings,text,Subgrupos,
gym.catalog.subgroup.gemeos,pt,Gémeos,text,Subgrupos,
gym.catalog.subgroup.gemeos,en,Calves,text,Subgrupos,
gym.catalog.subgroup.adutores,pt,Adutores,text,Subgrupos,
gym.catalog.subgroup.adutores,en,Adductors,text,Subgrupos,
gym.catalog.subgroup.abdutores,pt,Abdutores,text,Subgrupos,
gym.catalog.subgroup.abdutores,en,Abductors,text,Subgrupos,
gym.catalog.subgroup.gluteo_maximo,pt,Glúteo máximo,text,Subgrupos,
gym.catalog.subgroup.gluteo_maximo,en,Gluteus maximus,text,Subgrupos,
gym.catalog.subgroup.gluteo_medio,pt,Glúteo médio,text,Subgrupos,
gym.catalog.subgroup.gluteo_medio,en,Gluteus medius,text,Subgrupos,
gym.catalog.subgroup.gluteo_minimo,pt,Glúteo mínimo,text,Subgrupos,
gym.catalog.subgroup.gluteo_minimo,en,Gluteus minimus,text,Subgrupos,
gym.catalog.subgroup.reto_abdominal,pt,Reto abdominal,text,Subgrupos,
gym.catalog.subgroup.reto_abdominal,en,Rectus abdominis,text,Subgrupos,
gym.catalog.subgroup.abdomen_inferior,pt,Abdómen inferior,text,Subgrupos,
gym.catalog.subgroup.abdomen_inferior,en,Lower abs,text,Subgrupos,
gym.catalog.subgroup.obliquos,pt,Oblíquos,text,Subgrupos,
gym.catalog.subgroup.obliquos,en,Obliques,text,Subgrupos,
gym.catalog.subgroup.core,pt,Core,text,Subgrupos,
gym.catalog.subgroup.core,en,Core,text,Subgrupos,
gym.catalog.subgroup.transverso,pt,Transverso,text,Subgrupos,
gym.catalog.subgroup.transverso,en,Transverse abdominis,text,Subgrupos,
gym.catalog.exercise.supino_inclinado_com_barra,pt,Supino inclinado com barra,text,Exercícios,
gym.catalog.exercise.supino_inclinado_com_barra,en,Incline barbell bench press,text,Exercícios,
gym.catalog.exercise.supino_inclinado_com_halteres,pt,Supino inclinado com halteres,text,Exercícios,
gym.catalog.exercise.supino_inclinado_com_halteres,en,Incline dumbbell press,text,Exercícios,
gym.catalog.exercise.crucifixo_inclinado,pt,Crucifixo inclinado,text,Exercícios,
gym.catalog.exercise.crucifixo_inclinado,en,Incline dumbbell fly,text,Exercícios,
gym.catalog.exercise.crossover_de_baixo_para_cima,pt,Crossover de baixo para cima,text,Exercícios,
gym.catalog.exercise.crossover_de_baixo_para_cima,en,Low-to-high cable crossover,text,Exercícios,
gym.catalog.exercise.supino_inclinado_na_smith,pt,Supino inclinado na Smith,text,Exercícios,
gym.catalog.exercise.supino_inclinado_na_smith,en,Incline Smith machine press,text,Exercícios,
gym.catalog.exercise.supino_reto_com_barra,pt,Supino reto com barra,text,Exercícios,
gym.catalog.exercise.supino_reto_com_barra,en,Flat barbell bench press,text,Exercícios,
